== MiniMind-Embedding 训练 (stage2, embed_dense_64m) ==
[load_pretrained_backbone] 已加载 /root/minimind-embeddings/checkpoints/embedding/embedding_stage1_768.pth
  完整加载: 93 个参数
  部分加载: 0 个(vocab 扩展,前 6400 行已拷贝)
  跳过:     0 个(embedding 模型忽略 lm_head / rerank 缺 head 属正常)
参数量: 64.5M
[HFEmbeddingDataset] 加载 sentence-transformers/t2ranking (config=triplet-15) split=train ...
[HFEmbeddingDataset] 共 340111 条
总步数: 63768, batch=16, accum=1
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from WANDB_API_KEY.
wandb: Currently logged in as: qinganli (qinganli-personal) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run w6li4xpj
wandb: Tracking run with wandb version 0.28.1
wandb: Run data is saved locally in /root/minimind-embeddings/wandb/run-20260728_122846-w6li4xpj
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run cloud_stage2_FINAL_batch16_w128
wandb: ⭐️ View project at https://wandb.ai/qinganli-personal/minimind-embedding
wandb: 🚀 View run at https://wandb.ai/qinganli-personal/minimind-embedding/runs/w6li4xpj
[wandb] 已启用,project=minimind-embedding run=cloud_stage2_FINAL_batch16_w128
epoch 0 step 10400/63768 loss 1.2837 lr 9.42e-06
epoch 0 step 10500/63768 loss 1.3422 lr 9.41e-06
epoch 0 step 10600/63768 loss 1.3445 lr 9.40e-06
epoch 0 step 10700/63768 loss 1.3426 lr 9.39e-06
epoch 0 step 10800/63768 loss 1.3140 lr 9.38e-06
epoch 0 step 10900/63768 loss 1.3270 lr 9.37e-06
epoch 0 step 11000/63768 loss 1.4223 lr 9.36e-06
epoch 0 step 11100/63768 loss 1.3014 lr 9.34e-06
epoch 0 step 11200/63768 loss 1.3470 lr 9.33e-06
epoch 0 step 11300/63768 loss 1.3814 lr 9.32e-06
epoch 0 step 11400/63768 loss 1.3345 lr 9.31e-06
epoch 0 step 11500/63768 loss 1.3484 lr 9.30e-06
epoch 0 step 11600/63768 loss 1.3716 lr 9.29e-06
epoch 0 step 11700/63768 loss 1.3834 lr 9.27e-06
epoch 0 step 11800/63768 loss 1.3534 lr 9.26e-06
epoch 0 step 11900/63768 loss 1.3465 lr 9.25e-06
epoch 0 step 12000/63768 loss 1.3553 lr 9.24e-06
[save] checkpoints/embedding/embedding_stage2_768_step12000.pth + latest -> checkpoints/embedding/embedding_stage2_768.pth
epoch 0 step 12100/63768 loss 1.3236 lr 9.22e-06
epoch 0 step 12200/63768 loss 1.3351 lr 9.21e-06
epoch 0 step 12300/63768 loss 1.3291 lr 9.20e-06
epoch 0 step 12400/63768 loss 1.3166 lr 9.19e-06
epoch 0 step 12500/63768 loss 1.4056 lr 9.17e-06
epoch 0 step 12600/63768 loss 1.3735 lr 9.16e-06
epoch 0 step 12700/63768 loss 1.3385 lr 9.15e-06
epoch 0 step 12800/63768 loss 1.2914 lr 9.13e-06
epoch 0 step 12900/63768 loss 1.3326 lr 9.12e-06
epoch 0 step 13000/63768 loss 1.3293 lr 9.11e-06
epoch 0 step 13100/63768 loss 1.3154 lr 9.10e-06
epoch 0 step 13200/63768 loss 1.2958 lr 9.08e-06
epoch 0 step 13300/63768 loss 1.2899 lr 9.07e-06
epoch 0 step 13400/63768 loss 1.3386 lr 9.05e-06
epoch 0 step 13500/63768 loss 1.2957 lr 9.04e-06
epoch 0 step 13600/63768 loss 1.2965 lr 9.03e-06
epoch 0 step 13700/63768 loss 1.3311 lr 9.01e-06
epoch 0 step 13800/63768 loss 1.4151 lr 9.00e-06
epoch 0 step 13900/63768 loss 1.3744 lr 8.99e-06
epoch 0 step 14000/63768 loss 1.2917 lr 8.97e-06
epoch 0 step 14100/63768 loss 1.3277 lr 8.96e-06
epoch 0 step 14200/63768 loss 1.3143 lr 8.94e-06
epoch 0 step 14300/63768 loss 1.2884 lr 8.93e-06
epoch 0 step 14400/63768 loss 1.3100 lr 8.91e-06
epoch 0 step 14500/63768 loss 1.3149 lr 8.90e-06
epoch 0 step 14600/63768 loss 1.3915 lr 8.89e-06
epoch 0 step 14700/63768 loss 1.2775 lr 8.87e-06
epoch 0 step 14800/63768 loss 1.2945 lr 8.86e-06
epoch 0 step 14900/63768 loss 1.2757 lr 8.84e-06
epoch 0 step 15000/63768 loss 1.3166 lr 8.83e-06
epoch 0 step 15100/63768 loss 1.2406 lr 8.81e-06
epoch 0 step 15200/63768 loss 1.3274 lr 8.80e-06
epoch 0 step 15300/63768 loss 1.3530 lr 8.78e-06
epoch 0 step 15400/63768 loss 1.2922 lr 8.77e-06
epoch 0 step 15500/63768 loss 1.2857 lr 8.75e-06
epoch 0 step 15600/63768 loss 1.3360 lr 8.74e-06
epoch 0 step 15700/63768 loss 1.3146 lr 8.72e-06
epoch 0 step 15800/63768 loss 1.3135 lr 8.70e-06
epoch 0 step 15900/63768 loss 1.3050 lr 8.69e-06
epoch 0 step 16000/63768 loss 1.2939 lr 8.67e-06
[save] checkpoints/embedding/embedding_stage2_768_step16000.pth + latest -> checkpoints/embedding/embedding_stage2_768.pth
epoch 0 step 16100/63768 loss 1.2708 lr 8.66e-06
epoch 0 step 16200/63768 loss 1.3037 lr 8.64e-06
epoch 0 step 16300/63768 loss 1.3166 lr 8.63e-06
epoch 0 step 16400/63768 loss 1.2552 lr 8.61e-06
epoch 0 step 16500/63768 loss 1.2282 lr 8.59e-06
epoch 0 step 16600/63768 loss 1.3195 lr 8.58e-06
epoch 0 step 16700/63768 loss 1.2386 lr 8.56e-06
epoch 0 step 16800/63768 loss 1.3520 lr 8.54e-06
epoch 0 step 16900/63768 loss 1.2652 lr 8.53e-06
epoch 0 step 17000/63768 loss 1.2620 lr 8.51e-06
epoch 0 step 17100/63768 loss 1.2460 lr 8.50e-06
epoch 0 step 17200/63768 loss 1.2988 lr 8.48e-06
epoch 0 step 17300/63768 loss 1.3006 lr 8.46e-06
epoch 0 step 17400/63768 loss 1.3027 lr 8.45e-06
epoch 0 step 17500/63768 loss 1.2654 lr 8.43e-06
epoch 0 step 17600/63768 loss 1.2983 lr 8.41e-06
epoch 0 step 17700/63768 loss 1.2585 lr 8.39e-06
